Using device: mps
======================================================================
Training model: MLP
======================================================================
Total trainable parameters: 795,010
Starting strategy: constant
decay | Epoch 18 | Train Loss: 0.0773 | Train Acc: 97.9417% | Test Loss: 0.0935 | Test Acc: 97.3700% | LR: 0.005000 | Time: 6.58s
decay | Epoch 19 | Train Loss: 0.0751 | Train Acc: 98.0100% | Test Loss: 0.0925 | Test Acc: 97.3800% | LR: 0.005000 | Time: 6.60s
decay | Epoch 20 | Train Loss: 0.0728 | Train Acc: 98.0750% | Test Loss: 0.0906 | Test Acc: 97.4400% | LR: 0.005000 | Time: 6.65s
decay | Epoch 21 | Train Loss: 0.0704 | Train Acc: 98.1483% | Test Loss: 0.0897 | Test Acc: 97.4800% | LR: 0.002500 | Time: 6.60s
decay | Epoch 22 | Train Loss: 0.0694 | Train Acc: 98.1900% | Test Loss: 0.0890 | Test Acc: 97.5100% | LR: 0.002500 | Time: 6.59s
decay | Epoch 23 | Train Loss: 0.0683 | Train Acc: 98.2317% | Test Loss: 0.0883 | Test Acc: 97.4800% | LR: 0.002500 | Time: 6.57s
decay | Epoch 24 | Train Loss: 0.0674 | Train Acc: 98.2283% | Test Loss: 0.0877 | Test Acc: 97.5600% | LR: 0.002500 | Time: 6.56s
decay | Epoch 25 | Train Loss: 0.0664 | Train Acc: 98.2817% | Test Loss: 0.0870 | Test Acc: 97.5800% | LR: 0.002500 | Time: 6.63s
decay | Epoch 26 | Train Loss: 0.0655 | Train Acc: 98.2967% | Test Loss: 0.0866 | Test Acc: 97.5700% | LR: 0.002500 | Time: 6.64s
decay | Epoch 27 | Train Loss: 0.0647 | Train Acc: 98.3217% | Test Loss: 0.0859 | Test Acc: 97.5600% | LR: 0.002500 | Time: 6.61s
decay | Epoch 28 | Train Loss: 0.0637 | Train Acc: 98.3600% | Test Loss: 0.0855 | Test Acc: 97.5600% | LR: 0.002500 | Time: 6.65s
decay | Epoch 29 | Train Loss: 0.0629 | Train Acc: 98.3533% | Test Loss: 0.0851 | Test Acc: 97.6300% | LR: 0.002500 | Time: 6.60s
decay | Epoch 30 | Train Loss: 0.0620 | Train Acc: 98.4000% | Test Loss: 0.0841 | Test Acc: 97.6400% | LR: 0.002500 | Time: 6.50s
Starting strategy: armijo
armijo | Epoch 1 | Train Loss: 0.1985 | Train Acc: 98.7883% | Test Loss: 0.2202 | Test Acc: 93.2400% | LR: 0.361466 | Time: 9.21s
armijo | Epoch 2 | Train Loss: 0.0773 | Train Acc: 99.9050% | Test Loss: 0.0735 | Test Acc: 97.6400% | LR: 0.303525 | Time: 9.22s
armijo | Epoch 3 | Train Loss: 0.0430 | Train Acc: 99.9683% | Test Loss: 0.0721 | Test Acc: 97.8200% | LR: 0.314657 | Time: 9.22s
armijo | Epoch 4 | Train Loss: 0.0252 | Train Acc: 99.9917% | Test Loss: 0.0645 | Test Acc: 98.1500% | LR: 0.237797 | Time: 9.20s
armijo | Epoch 5 | Train Loss: 0.0109 | Train Acc: 99.9950% | Test Loss: 0.0588 | Test Acc: 98.2600% | LR: 0.304344 | Time: 9.20s
armijo | Epoch 6 | Train Loss: 0.0087 | Train Acc: 99.9950% | Test Loss: 0.0602 | Test Acc: 98.2900% | LR: 0.283955 | Time: 9.21s
armijo | Epoch 7 | Train Loss: 0.0052 | Train Acc: 99.9983% | Test Loss: 0.0617 | Test Acc: 98.3400% | LR: 0.327076 | Time: 9.23s
armijo | Epoch 8 | Train Loss: 0.0030 | Train Acc: 100.0000% | Test Loss: 0.0557 | Test Acc: 98.5500% | LR: 0.274648 | Time: 9.14s
armijo | Epoch 9 | Train Loss: 0.0017 | Train Acc: 100.0000% | Test Loss: 0.0592 | Test Acc: 98.5300% | LR: 0.390563 | Time: 9.18s
armijo | Epoch 10 | Train Loss: 0.0014 | Train Acc: 100.0000% | Test Loss: 0.0583 | Test Acc: 98.5700% | LR: 0.295163 | Time: 9.26s
